AÑo,Evento,Fecha,Lugar
2021,Entrega de uniformes de EFISAE,11 de febrero,Coliseo polideportivo sur Envigado
2021,Carrera Atlética Trepadores  a la Catedral,7 de Marzo,Parque principal a la catedral
2021,Festival Atlético,13 de marzo,Unidad deportiva el Dorado
2021,Copa Color Vóley,Mayo a Agosto,Plataforma central coliseo polideportivo sur Envigado
2021,Torneo de Baloncesto JAC El Dorado,Mayo a diciembre,Unidad deportiva El Dorado – Polideportivo sur Envigado
2021,Carrusel sin barreras,11 de Junio,Unidad deportiva El Dorado – Polideportivo sur Envigado
2021,Torneo departamental de tenis de mesa Índer Envigado,27 de Junio,Plataforma central coliseo polideportivo sur Envigado
2021,Torneo de fútbol Índer Envigado,Junio a diciembre,Canchas del municipio de Envigado
2021,Torneo de Sóftbol Índer Envigado,Junio a diciembre,Polideportivo sur Envigado
2021,Festivales de Fútbol - EFISAE,Julio a diciembre,Polideportivo sur Envigado
2021,Copa Índer Envigado,1 al 5 de julio,Polideportivo sur Envigado – Unidad deportiva el Dorado
2021,Copa sin barreras Índer Envigado,9 al 11 de julio,Polideportivo sur Envigado – Unidad deportiva el Dorado
2021,Evento de Ascenso disciplina de Taekwondo,17 de julio,Polideportivo sur Envigado
2021,Zonal municipal Juegos Intercolegiados,septiembre a octubre,Escenarios deportivos municipio de Envigado
2021,Evento multiplicando Fútbol,30 de agosto,Polideportivo sur Envigado
2021,XII Open de Karate Club Entrenarte,21 y 22 de agosto,Polideportivo sur Envigado
2021,Copa Fusión de Gimnasia,25 de Septiembre,Polideportivo sur Envigado
2021,Zonal municipal Juegos Escolares,Octubre,Escenarios deportivos municipio de Envigado
2021,Torneo Game Over E-Sport,8 de octubre,Polideportivo sur Envigado
2021,Colombia International Voley Cup,12 al 17 de octubre,Polideportivo sur Envigado
2021,Ajedrez al Parque,20 de octubre,Parque principal de Envigado
2021,Entrega de uniformes Interzonales PPP,22 de octubre,Unidad deportiva El Dorado
2021,Billar al Parque,23 y 24 de octubre,Parque principal de Envigado
2021,Torneo fútbol de salón zona 3 PPP,Agosto a octubre,Zona 3
2021,Torneo interzonal futbol de salón PPP,Agosto a diciembre,Placas deportivas municipio de Envigado
2021,Torneo interzonal de baloncesto PPP,Agosto a diciembre,Placas deportivas municipio de Envigado
2021,Torneo de fútbol zona 6,Noviembre y diciembre,Cancha de fútbol San Rafael
2021,Torneo interzonal de voleibol PPP,noviembre a diciembre,Placas deportivas municipio de Envigado
2021,Parada nacional de voleibol clasificatorio al festival de festivales,8 de octubre,Polideportivo sur Envigado
2021,Jornada Ludico Deportiva Secretaria de Educación,29 de Octubre,Polideportivo sur Envigado
