#,disciplina,sexo,barrio,estrato,discapacitado
1,CICLISMO,MASCULINO,SAN ALONSO,3,NO
2,CICLISMO,MASCULINO,BMANGA,3,NO
3,CICLISMO,MASCULINO,LUZ DE SALVACION,2,NO
4,CICLISMO,MASCULINO,LAGOS 2,3,NO
5,CICLISMO,MASCULINO,LS 11,2,NO
6,CICLISMO,MASCULINO,BAVARIA 2,2,NO
7,CICLISMO,MASCULINO,LA JOYA,3,NO
8,CICLISMO,MASCULINO,EL NORTE,3,NO
9,CICLISMO,MASCULINO,SAN ALONSO,3,NO
10,CICLISMO,MASCULINO,LA JOYA,2,NO
11,CICLISMO,MASCULINO,PORVENIR,3,NO
12,CICLISMO,MASCULINO,MARIA PAZ,2,NO
13,CICLISMO,MASCULINO,CAMPO HERMOSO,3,NO
14,CICLISMO,MASCULINO,SAN ALONSO,3,NO
15,CICLISMO,MASCULINO,COMUNEROS,3,NO
16,CICLISMO,MASCULINO,COMUNEROS,3,NO
17,CICLISMO,FEMENINO,PORTON,3,NO
18,BMX,MASCULINO,SAN MARTIN,1,NO
19,BMX,FEMENINO,SAN MARTIN,1,NO
20,BMX,FEMENINO,SAN MARTIN,1,NO
21,BMX,MASCULINO,SAN MARTIN,1,NO
22,BMX,MASCULINO,SAN MARTIN,1,NO
23,BMX,FEMENINO,SAN MARTIN,1,NO
24,BMX,MASCULINO,SAN MARTIN,1,NO
25,BMX,FEMENINO,SAN MARTIN,1,NO
26,BMX,MASCULINO,SAN MARTIN,1,NO
27,BMX,FEMENINO,SAN MARTIN,1,NO
28,BMX,MASCULINO,SAN MARTIN,1,NO
29,BMX,MASCULINO,SAN MARTIN,1,NO
30,CICLISMO,FEMENINO,BAVARIA 2,1,NO
31,CICLISMO,MASCULINO,BAVARIA 2,1,NO
32,CICLISMO,MASCULINO,BAVARIA 2,1,NO
33,CICLISMO,FEMENINO,BAVARIA 2,1,NO
34,CICLISMO,FEMENINO,BAVARIA 2,1,NO
35,CICLISMO,MASCULINO,BAVARIA 2,1,NO
36,CICLISMO,FEMENINO,BAVARIA 2,1,NO
37,CICLISMO,FEMENINO,BAVARIA 2,1,NO
38,CICLISMO,MASCULINO,BAVARIA 2,1,NO
39,CICLISMO,MASCULINO,BAVARIA 2,1,NO
40,CICLISMO,MASCULINO,SAN ALONSO,1,NO
41,CICLISMO,FEMENINO,SAN ALONSO,1,NO
42,CICLISMO,FEMENINO,MORRORICO,3,NO
43,CICLISMO,FEMENINO,COLORADOS,2,NO
44,CICLISMO,FEMENINO,ANTONIA SANTOS,3,NO
45,CICLISMO,MASCULINO,LA CUMBRE,3,NO
46,CICLISMO,MASCULINO,LA CUMBRE,3,NO
47,CICLISMO,MASCULINO,SAN FRANCISCO,3,NO
48,CICLISMO,MASCULINO,LA CUMBRE,2,NO
49,CICLISMO,MASCULINO,ANTONIA SANTOS,3,NO
50,CICLISMO,MASCULINO,ANTONIA SANTOS,3,NO
51,CICLISMO,MASCULINO,SAN ALONSO,2,NO
52,CICLISMO,FEMENINO,LAGOS II,3,NO
53,CICLISMO,FEMENINO,SAN MIGUEL,3,NO
54,CICLISMO,MASCULINO,LA CONCORDI A,3,NO
55,CICLISMO,FEMENINO,LA CUMBRE,3,NO
56,CICLISMO,MASCULINO,LUZ DE SALVACION,2,NO
57,CICLISMO,MASCULINO,SAN ALONSO,3,NO
58,CICLISMO,MASCULINO,ALFONSO LOPEZ,3,NO
59,CICLISMO,MASCULINO,CANDILES,3,NO
60,CICLISMO,FEMENINO,CANDILES,2,NO
61,CICLISMO,MASCULINO,SAN MIGUEL,3,NO
62,CICLISMO,MASCULINO,SAN MIGUEL,3,NO
63,CICLISMO,MASCULINO,FONTANA,4,NO
64,CICLISMO,MASCULINO,SAN ALONSO,4,NO
65,CICLISMO,MASCULINO,FONTANA,3,NO
66,CICLISMO,MASCULINO,VILLALUZ,2,NO
67,CICLISMO,MASCULINO,VILLALUZ,2,NO
68,CICLISMO,FEMENINO,SAN MIGUEL,3,NO
69,CICLISMO,MASCULINO,PTE NARIÑO,1,NO
70,CICLISMO,MASCULINO,ANTONIA SANTOS,3,NO
71,NATACION,MASCULINO,CAMPO HERMOSO,1,NO
72,NATACION,MASCULINO,CAMPO HERMOSO,3,NO
73,NATACION,MASCULINO,CAMPO HERMOSO,2,NO
74,NATACION,MASCULINO,CAMPO HERMOSO,2,NO
75,NATACION,MASCULINO,CAMPO HERMOSO,2,NO
76,NATACION,FEMENINO,QUINTA ESTRELLA,2,NO
77,NATACION,FEMENINO,QUINTA ESTRELLA,3,NO
78,NATACION,MASCULINO,COMUNEROS,3,NO
79,NATACION,MASCULINO,CAMPO HERMOSO,2,NO
80,NATACION,MASCULINO,PRIMERO DE MAYO,2,NO
81,NATACION,MASCULINO,PRIMERO DE MAYO,2,NO
82,NATACION,MASCULINO,CAMPO HERMOSO,3,NO
83,NATACION,FEMENINO,CAMPO HERMOSO,2,NO
84,NATACION,MASCULINO,CAMPO HERMOSO,2,NO
85,NATACION,MASCULINO,PRIMERO DE MAYO,2,NO
86,NATACION,MASCULINO,CAMPO HERMOSO,3,NO
87,NATACION,MASCULINO,CAMPO HERMOSO,2,NO
88,NATACION,MASCULINO,CAMPO HERMOSO,3,NO
89,NATACION,MASCULINO,CAMPO HERMOSO,2,NO
90,NATACION,FEMENINO,MUTIS,3,NO
91,NATACION,MASCULINO,CAMPO HERMOSO,2,NO
92,NATACION,FEMENINO,CAMPO HERMOSO,3,NO
93,NATACION,MASCULINO,CAMPO HERMOSO,3,NO
